order_id,customer_id,customer_name,phone_number,country_code,order_date,order_status,total_amount
ORD1094,CUST594,Karan Shah,13875717751,US,15/06/2026,Delivered,2876.01
ORD1095,CUST595,Mei Tan,443796603,GB,2026-06-15,Pending,6436.12
ORD1096,CUST596,Mei Tan,557924991,AE,2026-05-21,Delivered,1112.2
ORD1097,CUST597,Rohan Gupta,4407236887,GB,2026-06-01,Delivered,3662.04
ORD1098,CUST598,James Wright,191485807,AE,2026-05-28,Pending,5298.64
ORD1099,CUST599,Mei Tan,233095849,AE,2026-05-21,Delivered,4667.34
ORD1100,CUST600,Olivia Brown,367294,SG,25/05/2026,Delivered,6397.87
ORD1101,CUST601,Olivia Brown,3745458929,GB,2026-05-22,Pending,558.35
ORD1102,CUST602,Fatima Noor,6541541520,SG,2026-05-20,Pending,2026.32
ORD1103,CUST603,,65111554,SG,2026-05-09,Delivered,1314.25
ORD1104,CUST604,John Carter,9656523413,IN,2026-06-08,Delivered,6275.96
ORD1105,CUST605,,449180552696,GB,2026-06-13,Pending,7644.73
ORD1106,CUST606,Wei Lin,8924141832,GB,2026-05-26,Delivered,6709.31
ORD1107,CUST607,Aarav Mehta,0275884252,IN,2026-05-18,Delivered,-6217.16
ORD1108,CUST608,James Wright,912524191380,IN,01/05/2026,Delivered,3039.02
ORD1109,CUST609,Wei Lin,1802380617,US,20/05/2026,Delivered,3762.62
ORD1110,CUST610,Olivia Brown,910506413836,IN,2026-05-04,Delivered,925.61
ORD1111,CUST611,Olivia Brown,56557431,SG,2026-05-09,Pending,1024.13
ORD1112,CUST612,Aarav Mehta,971521356804,AE,2026-05-12,Pending,6865.89
ORD1113,CUST613,Mei Tan,19941013,SG,29/05/2026,Delivered,6808.75
ORD1114,CUST614,Mei Tan,443244720999,GB,2026-05-19,Pending,4495.37
ORD1115,CUST615,James Wright,7598564205,US,02/05/2026,Delivered,7933.94
ORD1116,CUST616,Rohan Gupta,65223955,SG,2026-05-02,Pending,7590.96
ORD1117,CUST617,Aarav Mehta,9325250029,GB,2026-05-10,Delivered,6913.22
ORD1118,CUST618,Karan Shah,448953926442,GB,2026-05-01,Pending,3254.49
ORD1119,CUST619,Karan Shah,914331541006,IN,2026-05-27,Pending,4046.04
ORD1120,CUST620,John Carter,2181599706,US,2026-05-11,Pending,1425.41
ORD1004,CUST504,Olivia Brown,16724238849,US,2026-06-07,Delivered,7979.14
ORD1011,CUST511,Rohan Gupta,919091699854,IN,2026-06-15,Delivered,3287.13
